PRODUTOS;;;;;;
ID;PRODUTO;IMAGEM 1;IMAGEM 2;IMAGEM 3;IMAGEM 4;IMAGEM 5
505749;Gancho De Açougue Aço Inox 7/16" - Malta;https://images.tcdn.com.br/img/img_prod/1265869/gancho_de_acougue_aco_inox_7_16_malta_505749_1_008bf4b25d52264b9e726a7474867071_20240123153152.jpg;;;;
505751;Gancho De Açougue Estanhado 1/4" - Malta;https://images.tcdn.com.br/img/img_prod/1265869/gancho_de_acougue_aco_estanhado_1_4_malta_505751_1_008bf4b25d52264b9e726a7474867071_20240123153152.jpg;;;;
505755;Gancho De Açougue Estanhado 3/16" - Malta;https://images.tcdn.com.br/img/img_prod/1265869/gancho_de_acougue_aco_estanhado_3_16_malta_505755_1_008bf4b25d52264b9e726a7474867071_20240123153153.jpg;;;;
505757;Gancho De Açougue Estanhado 3/8" - Malta;https://images.tcdn.com.br/img/img_prod/1265869/gancho_de_acougue_estanhado_3_8_malta_505757_1_008bf4b25d52264b9e726a7474867071_20240123153153.jpg;;;;
505759;Gancho De Açougue Estanhado 5/16" - Malta;https://images.tcdn.com.br/img/img_prod/1265869/gancho_de_acougue_estanhado_5_16_malta_505759_1_008bf4b25d52264b9e726a7474867071_20240123153153.jpg;;;;
505763;Gancho De Açougue Estanhado 7/16" - Malta;https://images.tcdn.com.br/img/img_prod/1265869/gancho_de_acougue_estanhado_7_16_malta_505763_1_008bf4b25d52264b9e726a7474867071_20240123153153.jpg;;;;
510705;"Gancho Em Aço Inox 6,35Mm - Lavinox";https://images.tcdn.com.br/img/img_prod/1265869/gancho_em_aco_inox_6_35mm_lavinox_510705_1_1757600c3f0ce20f9f9f233e41908cf9_20240123154240.jpg;;;;
510709;"Gancho Em Aço Inox 7,94Mm - Lavinox";https://images.tcdn.com.br/img/img_prod/1265869/gancho_em_aco_inox_7_94mm_lavinox_510709_1_1757600c3f0ce20f9f9f233e41908cf9_20240123154240.jpg;;;;
505791;Gancho Giratório De Açougue Estanhado 3/8" - Malta;https://images.tcdn.com.br/img/img_prod/1265869/gancho_giratorio_de_acougue_estanhado_3_8_malta_505791_1_b440d56db01c6a23000cfb58a52bc791_20240123153157.jpg;;;;
505793;Gancho Giratório De Açougue Estanhado 7/16" - Malta;https://images.tcdn.com.br/img/img_prod/1265869/gancho_giratorio_de_acougue_estanhado_7_16_malta_505793_1_b440d56db01c6a23000cfb58a52bc791_20240123153157.jpg;;;;
507137;Garapeira 120 Gfe;https://images.tcdn.com.br/img/img_prod/1265869/garapeira_120_gfe_507137_1_14b2d09b3297a4efdbb8ea4298b1118f_20240123154300.png;;;;
510725;GARFO CAMPEIRO EM AÇO INOX 42CM - LAVINOX;https://images.tcdn.com.br/img/img_prod/1265869/garfo_campeiro_em_aco_inox_42cm_lavinox_510725_1_628925541a5add1c62617d0f29eac38e_20240123154243.jpg;;;;
510727;GARFO CAMPEIRO EM AÇO INOX 62CM - LAVINOX;https://images.tcdn.com.br/img/img_prod/1265869/garfo_campeiro_em_aco_inox_62cm_lavinox_510727_1_628925541a5add1c62617d0f29eac38e_20240123154243.jpg;;;;
507865;GARFO DE MESA COM LÂMINA EM AÇO INOX E CABO EM MADEIRA TRATADA POLYWOOD VERMELHO - TRAMONTINA;https://images.tcdn.com.br/img/img_prod/1265869/garfo_de_mesa_com_lamina_em_aco_inox_e_cabo_em_madeira_tratada_polywood_vermelho_tramontina_507865_1_1f4cd348cf5dbfbba4305a37a4a76e83_20240123153614.jpg;;;;
507955;GARFO DE MESA IPANEMA COM LÂMINA EM AÇO INOX E CABO DE POLIPROPILENO PRETO - TRAMONTINA;https://images.tcdn.com.br/img/img_prod/1265869/garfo_de_mesa_ipanema_com_lamina_em_aco_inox_e_cabo_de_polipropileno_preto_tramontina_507955_1_a7fe6c4fcf57cdb02dbbcd23cb33a509_20240123153725.jpg;;;;
507959;GARFO DE MESA IPANEMA COM LÂMINA EM AÇO INOX E CABO DE POLIPROPILENO VERDE ESMERALDA - TRAMONTINA;https://images.tcdn.com.br/img/img_prod/1265869/garfo_de_mesa_ipanema_com_lamina_em_aco_inox_e_cabo_de_polipropileno_verde_esmeralda_tramontina_507959_1_b78e50329fcbda87bbaa19ff599f8022_20240123153725.jpg;;;;
